cluster,cluster_name,district,num_reviews,rating_overall,photos_count,instant_book,min_nights,extra_guest_fee_policy,nearest_poi_dist_km,bedrooms,baths
0,핫플 수익형,Mapo-gu,88,4.78,26,False,2,0,0.141,1,1.0
1,로컬 주거형,Songpa-gu,55,4.55,25,True,2,1,0.091,0,1.0
0,핫플 수익형,Mapo-gu,34,4.88,21,True,1,1,0.137,2,1.0
0,핫플 수익형,Mapo-gu,44,4.68,18,False,2,0,0.079,1,1.0
2,가성비 신흥형,Gwanak-gu,44,4.93,59,False,0,0,0.093,3,1.0
3,프리미엄 비즈니스,Jongno-gu,16,4.69,16,False,3,0,0.007,1,1.0
1,로컬 주거형,Songpa-gu,114,4.96,38,False,2,0,0.201,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,52,4.75,21,True,1,1,0.103,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,70,4.81,5,False,2,0,0.201,2,1.0
3,프리미엄 비즈니스,Jung-gu,16,4.88,97,True,4,0,0.039,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,16,4.94,16,True,5,0,0.258,2,1.0
1,로컬 주거형,Gwangjin-gu,39,4.97,60,False,1,0,0.166,2,1.0
3,프리미엄 비즈니스,Yongsan-gu,89,4.82,64,False,1,0,0.084,2,1.0
3,프리미엄 비즈니스,Seocho-gu,95,4.84,19,True,2,0,0.023,1,1.0
2,가성비 신흥형,Seodaemun-gu,96,4.77,30,False,1,0,0.228,1,1.0
1,로컬 주거형,Songpa-gu,132,4.92,19,True,2,0,0.369,2,1.0
3,프리미엄 비즈니스,Gangnam-gu,34,4.79,52,True,5,0,0.106,1,1.0
3,프리미엄 비즈니스,Jongno-gu,43,4.91,44,False,0,0,0.089,2,1.0
0,핫플 수익형,Mapo-gu,77,4.79,17,True,1,0,0.107,2,1.0
1,로컬 주거형,Gwangjin-gu,27,4.85,54,False,1,0,0.057,2,1.0
2,가성비 신흥형,Seodaemun-gu,44,4.93,52,False,0,0,0.139,2,1.0
0,핫플 수익형,Mapo-gu,59,4.39,57,False,2,0,0.049,1,1.0
3,프리미엄 비즈니스,Jung-gu,81,4.94,39,False,1,0,0.12,1,1.0
3,프리미엄 비즈니스,Seocho-gu,31,4.94,47,True,5,0,0.03,1,1.0
0,핫플 수익형,Mapo-gu,52,4.98,42,False,3,0,0.107,2,1.0
3,프리미엄 비즈니스,Gangnam-gu,7,4.71,96,False,10,1,0.133,2,1.0
3,프리미엄 비즈니스,Jongno-gu,89,4.93,40,True,1,0,0.041,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,245,4.36,9,True,1,0,0.063,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,27,4.89,54,True,5,0,0.072,1,1.0
0,핫플 수익형,Mapo-gu,32,4.66,26,False,30,0,0.178,2,1.0
3,프리미엄 비즈니스,Gangnam-gu,39,5.0,29,True,0,0,0.14,2,1.0
0,핫플 수익형,Mapo-gu,17,4.82,31,False,0,0,0.03,2,1.0
1,로컬 주거형,Gwangjin-gu,48,4.94,44,False,1,0,0.063,3,1.0
0,핫플 수익형,Mapo-gu,12,4.67,7,False,1,0,0.107,1,1.0
2,가성비 신흥형,Seodaemun-gu,194,4.9,23,True,2,1,0.156,0,0.0
1,로컬 주거형,Songpa-gu,89,4.93,70,False,3,0,0.246,2,1.0
3,프리미엄 비즈니스,Gangnam-gu,43,4.74,32,False,1,1,0.039,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,31,4.74,45,False,1,0,0.075,1,1.0
3,프리미엄 비즈니스,Jongno-gu,58,4.97,68,True,0,0,0.095,3,2.0
0,핫플 수익형,Mapo-gu,180,4.78,31,False,1,0,0.077,2,1.0
0,핫플 수익형,Mapo-gu,106,4.69,24,True,3,0,0.041,2,2.0
1,로컬 주거형,Songpa-gu,93,4.99,77,False,2,0,0.037,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,10,5.0,20,True,2,0,0.009,2,1.0
3,프리미엄 비즈니스,Jongno-gu,38,4.68,22,False,3,0,0.163,1,1.0
0,핫플 수익형,Mapo-gu,56,4.96,88,True,3,0,0.03,2,1.0
3,프리미엄 비즈니스,Seocho-gu,102,4.91,19,False,1,0,0.197,2,1.0
3,프리미엄 비즈니스,Gangnam-gu,15,4.87,30,False,7,0,0.123,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,13,4.85,17,True,3,0,0.101,3,2.0
3,프리미엄 비즈니스,Yongsan-gu,150,4.95,48,True,1,0,0.096,1,1.0
3,프리미엄 비즈니스,Jongno-gu,29,4.86,48,True,0,0,0.012,3,1.0
3,프리미엄 비즈니스,Jung-gu,21,4.81,26,False,1,0,0.163,1,1.0
3,프리미엄 비즈니스,Jung-gu,23,4.87,71,True,4,0,0.073,1,1.0
0,핫플 수익형,Mapo-gu,72,4.92,19,True,3,0,0.077,1,1.0
3,프리미엄 비즈니스,Jung-gu,11,4.64,12,True,1,0,0.007,0,0.0
3,프리미엄 비즈니스,Seocho-gu,59,4.88,25,False,1,0,0.535,2,1.0
1,로컬 주거형,Songpa-gu,102,4.92,85,False,3,0,0.126,1,1.0
0,핫플 수익형,Mapo-gu,52,4.94,34,False,2,0,0.392,1,1.0
1,로컬 주거형,Yeongdeungpo-gu,33,4.88,21,True,2,1,0.426,1,1.0
0,핫플 수익형,Mapo-gu,26,4.54,13,True,1,0,0.034,1,1.0
3,프리미엄 비즈니스,Seocho-gu,75,4.84,16,False,3,0,0.013,1,1.0
0,핫플 수익형,Mapo-gu,37,4.95,85,True,21,1,0.023,0,1.0
1,로컬 주거형,Gangseo-gu,47,4.74,29,False,1,0,0.298,3,1.0
3,프리미엄 비즈니스,Jongno-gu,12,4.92,16,False,28,0,0.025,1,1.0
3,프리미엄 비즈니스,Seocho-gu,62,4.73,15,True,2,0,0.051,1,1.0
