,ttm_revpar
536,195239.0
5146,64290.4
17657,4362.6
5628,59973.1
9517,35305.9
15183,11340.1
17969,3691.7
15517,10187.8
16122,8394.9
432,215274.7
6119,56081.5
8595,40535.9
2370,100239.6
19004,1595.2
7009,50110.5
583,186474.4
16477,10919.8
5762,58927.3
690,174657.5
5570,60494.1
4895,66726.3
4157,73616.6
1721,117584.8
768,165949.1
7738,45713.9
805,163364.9
11176,27020.1
13803,21312.7
10484,30207.2
6684,52252.2
6914,50733.9
9637,34711.3
13978,15610.5
13646,16892.9
2596,95826.7
1969,110470.8
13611,17016.0
7452,47412.2
7928,44585.9
6862,51047.9
16859,6393.4
3141,86616.5
11708,52883.7
6298,54593.6
1675,180696.6
19040,1542.1
4035,74854.5
12280,22113.5
597,185040.5
4581,69530.4
13894,15976.4
11777,24361.1
1052,146773.0
11245,26704.6
13642,16909.2
2565,96465.4
2258,103094.0
8607,60049.8
15509,10220.3
5064,64947.4
5672,59567.3
9082,37751.5
4243,72799.5
9958,32888.2
6629,52587.2
13358,17890.7
969,151147.1
3958,75846.1
10890,28306.2
6326,54375.8
11219,26808.2
892,156384.0
4849,67143.1
11397,25975.5
11842,24144.0
8232,42888.5
8522,40984.9
8279,42584.5
19347,1543.6
9726,34174.9
6415,53846.4
1861,113378.1
8453,41498.7
5033,65231.2
15588,9987.5
15189,11315.8
11671,24777.4
2498,97915.0
9317,36386.0
6456,53595.0
6564,52944.6
7826,45222.9
3899,76528.6
15466,10350.3
7595,46456.1
4148,73681.9
1173,140021.5
9437,88642.6
9488,35433.3
15084,11667.0
17578,4549.6
7410,47639.6
2187,104811.9
1477,126621.1
1219,138112.8
19919,360.0
12993,19355.1
2801,91659.1
1082,144983.5
18030,3526.1
15383,10688.9
12116,22916.7
5411,61722.2
12528,25477.5
7533,116423.0
4580,69547.9
4746,68060.9
1160,140314.8
7746,45685.2
9349,36209.7
8883,38853.7
3370,83102.1
19335,1146.9
16764,6632.4
7052,49826.9
8630,40334.3
1914,111946.8
629,181615.0
11058,27509.2
1356,131480.8
19149,1390.8
5770,58876.6
4099,74181.6
4518,70152.2
3153,86465.5
10213,31586.2
16945,6174.4
1520,125247.6
14316,24641.4
8091,43758.5
19081,1485.3
3852,77039.7
9259,36778.7
9681,34457.9
6201,55405.6
11883,23911.5
12642,20613.7
13517,17374.5
2580,96117.4
6888,50913.7
6044,56603.4
15104,11605.9
8465,41441.8
5194,63864.9
8035,44013.2
6394,53939.0
14760,12698.5
4590,69438.1
8923,38671.9
6686,52242.8
11523,25348.9
7903,44740.4
10505,30130.7
16240,8052.2
11237,26730.2
3109,87130.1
9007,38142.3
13373,17860.3
13817,16291.3
5795,58749.2
1491,126168.3
13815,16308.4
6669,52357.4
10375,30690.3
6157,55778.2
6554,53007.9
3486,81537.0
858,158908.6
10785,28883.5
6784,51631.5
5532,60748.4
9942,32987.0
4530,70042.3
2246,103292.1
3928,76153.1
3614,79736.3
584,186372.8
8017,44125.6
1530,124913.1
9400,35911.9
15549,10090.6
9494,35416.1
16086,8478.0
10401,30606.1
3510,81314.6
415,218767.4
