,superhost,instant_book,bedrooms_group,baths_group,guests_group,min_nights,extra_guest_fee_policy,rating_overall,photos_count,num_reviews,nearest_poi_dist_km,district_listing_count,district_superhost_rate,district_operating_rate,district_entire_home_rate,ttm_pop,photos_tier,review_rate,poi_dist_category,room_type_hotel_room,room_type_private_room,room_type_shared_room,nearest_poi_type_name_레포츠,nearest_poi_type_name_문화시설,nearest_poi_type_name_쇼핑,nearest_poi_type_name_숙박,nearest_poi_type_name_여행코스,nearest_poi_type_name_음식점,nearest_poi_type_name_축제공연행사
1125,0,1,5,6,4,2,0,4.77,119,43,0.017,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.2088798202230651,0,False,False,False,False,False,False,False,False,True,False
4661,0,0,5,6,5,0,0,4.94,33,51,0.05,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,2,0.2817056988416609,0,False,False,False,False,False,False,True,False,False,False
14520,1,1,5,6,5,0,0,4.94,46,18,0.146,1051,0.4081826831588963,0.8943862987630827,0.7136060894386299,516461,3,0.1767565161608826,0,False,False,False,False,False,True,False,False,False,False
267,1,1,5,6,5,1,0,4.9,39,77,0.028,2640,0.4166666666666667,0.8897727272727273,0.5238636363636363,302528,3,0.276848954529001,0,False,False,False,False,False,True,False,False,False,False
11462,0,1,5,6,5,1,0,4.67,24,30,0.112,2640,0.4166666666666667,0.8897727272727273,0.5238636363636363,302528,2,0.1395446187429606,0,False,True,False,False,False,False,True,False,False,False
6246,1,0,5,6,5,3,0,4.89,16,80,0.087,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,1,0.4817100678506092,0,False,False,False,False,False,False,True,False,False,False
5055,0,0,5,6,4,3,0,4.64,42,25,0.062,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.157094381317743,0,False,False,False,False,False,False,False,False,True,False
14682,1,0,5,6,5,10,0,4.9,11,10,0.325,1165,0.3639484978540772,0.9313304721030042,0.7399141630901288,470739,0,0.0801089475277661,1,False,False,False,False,True,False,False,False,False,False
7487,0,1,5,6,5,2,0,4.58,74,19,0.121,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.1136567559151955,0,False,False,False,False,False,False,False,False,True,False
3121,0,1,5,6,5,1,0,5.0,23,9,0.101,3589,0.3948174979102814,0.8927277793257175,0.5274449707439398,315657,2,0.1036030838770221,0,False,False,False,False,False,False,True,False,False,False
