,log_target
14171,9.612673915182695
5285,11.048942077647702
12742,9.916581452047286
18500,7.832291919710142
10530,10.308832653443716
127,12.72557184484999
6121,10.934334787069542
4742,11.128415261208453
18162,8.082031471571236
3693,11.274585785134061
1278,11.815042105966706
7432,10.768785997347061
4466,11.165231499611975
10548,10.305483316088813
12679,9.926871992768865
6794,10.850390900127348
12308,9.999933450804381
7143,10.80482706995707
275,12.462270242821878
16756,8.80333407684919
11155,11.116178245401787
1286,11.812198600745134
8653,10.601030059481351
5028,11.08651298459531
3179,11.36201885080062
7770,10.726500038828679
1925,11.62330695441605
15567,9.213595069696678
12507,9.958822916741564
9149,10.52766775413105
14510,9.522131960221166
18707,7.662373781630183
13299,9.805681761282411
14263,9.589536792807174
7058,10.815858612523465
2887,11.413695010922487
722,12.051197369913448
11190,10.20128949592379
3041,11.383445283667688
6624,10.870798341471914
1131,11.862776378083266
12991,9.871155458272767
15239,9.32133598063235
5846,10.973527169243027
9869,10.417244874671786
3818,12.165947283305286
2357,11.518040361555345
5619,11.00409618052554
6387,10.896194732838273
18400,7.906547232368036
12316,9.999352124091489
12611,9.941033787610092
3920,11.241940549233718
4988,11.092497976647541
18286,7.988950093613178
5365,11.037833713155349
14117,9.624177007527269
3311,11.338416113282662
17033,8.691868926601304
7590,10.746538550613145
14446,9.5396153417263
16439,8.918569953615796
1891,11.633181883735624
9211,10.518556968656517
4884,11.109819072902956
4825,11.118560521452483
7220,10.795149469784779
6734,10.857108750633495
17695,8.366393557225194
740,12.041772129949969
8555,10.616128489167036
18653,8.115998950158719
15337,9.291763664665044
2505,11.490561239581304
4994,11.091718095113444
9572,10.463291894122765
4779,11.123187041720364
13846,9.692729483497551
4260,11.193941218153123
12095,10.04240566072247
5310,11.044854367182097
8108,10.683727148468671
5594,11.007826744477539
7696,10.735448399913095
5205,11.061135750704924
3944,11.238585982949523
15508,9.232238840677299
17891,8.261862135848782
19868,6.153583396584417
11282,10.18572608577572
5900,10.96635866742647
7745,10.72961284769053
9695,10.44547748514443
9258,10.513003092901814
15793,9.140850948656345
5153,11.069707086487773
10994,10.233970460310603
13432,9.780489065024115
3282,11.345611528366653
8006,10.695767144312773
12708,9.92378025580389
6245,10.917191705396853
5172,11.067094508291426
17878,8.271522805520416
10541,10.306837091070902
15404,9.269608780433241
1819,11.648854855099119
1715,11.676492245280535
4641,11.141577685256275
12144,10.034384227337895
6713,10.859644942742204
496,12.216170490255111
9787,10.429162379152325
157,12.667440027012237
16508,8.892913613340841
14965,9.396728648444899
3796,11.260489550916317
13751,9.714769582236906
3362,11.32964064438664
9020,10.54750488624101
2326,11.524876762849969
16992,8.708044929213568
4282,11.191194243743954
974,11.924862915540984
3455,11.31320909177547
14062,9.637880034402658
2291,11.535631715805781
8942,10.55978919697525
2629,11.461777423190902
440,12.27333121398265
4509,11.159819857649508
9303,10.50469760814069
1634,11.702060424397398
10986,10.23601630956678
13618,9.740733301234702
5953,10.957024020313147
7833,10.718044517474805
14673,9.478327261359446
14939,9.401985000230988
469,12.238994233865256
15681,9.18308222120532
763,12.024943377677191
4377,11.179566576846083
5608,11.006003877195482
2743,11.439208954646864
1103,12.54957546671339
9897,10.41243240876714
8388,10.642778541610305
13605,9.743113380224997
14152,9.618442001405477
6167,11.575688035039846
4378,11.179510749364153
1391,11.776432921897989
7232,10.793571876609887
1889,11.634069955711862
9935,11.314478184776283
12836,9.90114481045765
12355,9.992125522572389
10313,10.34362458217557
14972,9.394368804561823
8851,10.572152473379985
1905,11.629204258710702
17909,8.250567861490067
17339,8.5494861166125
16968,8.718287433533476
1132,11.862275144551882
15470,9.244200589464285
8855,10.571842428036573
13086,9.854481114981294
15713,9.170830016880723
5963,10.955046667592871
9425,10.484948697900347
2221,11.551622964347974
11863,10.086367286853354
11503,10.143704520039627
3536,11.302310600858146
5752,10.985472367767699
7897,10.709572717089257
1450,11.760117519041577
4532,11.156743256760164
11623,10.123149048526061
5751,10.985507953961275
4644,11.14128625567614
2207,11.555512620676426
7946,10.702905084727595
9559,10.464764816598212
2135,11.574684501917966
9528,10.469650432841332
15410,9.266446565760054
2710,11.447231076074825
6528,10.88057794972924
7799,10.722410188548514
9759,10.433977558748802
1962,11.61393934769123
7694,10.735476687194373
3019,11.388230345809331
18225,8.032749808924365
11125,10.211802789645372
16243,8.992420652662176
7074,10.813728018407556
7878,10.712333375691575
6133,10.93200815195239
6812,10.846792103354558
765,12.021759707251626
4121,11.211228305057258
838,11.986146413090639
7045,10.817038534721288
14871,9.421540888320514
12924,9.884569733681483
10764,10.273705376290232
6223,10.919279668833076
14847,9.425895201641717
2494,11.492581931410628
15511,9.231485235325291
14478,9.533025139622533
13729,9.718710984667062
8853,10.572111481163375
15207,9.329296053148317
4526,11.157954782238722
11686,10.958478794099808
6475,10.887833116075415
10416,10.326956285083867
14234,9.596405171847
4464,11.165351835277841
6494,10.88530569143899
7818,10.720203222913401
5678,10.99375007875779
1478,11.748845448957159
7418,10.770327502080717
8300,10.656666237876898
6856,10.840835026935894
4793,11.121558509241268
19393,6.937216989131756
10702,10.281478683643538
5219,11.059631055915675
3396,11.323220316428136
13581,9.74902432387057
6271,10.911082268299156
2727,11.443830445409198
134,12.71451813903204
9951,10.402488540035458
15855,9.722169492071268
16682,9.586603214276135
2994,11.393916678388026
10915,10.245888607499886
4252,11.19480067974306
808,12.002781352633441
8766,10.584837923549896
14158,9.616924853352263
6354,10.900358693650265
429,12.281854751254226
14822,10.191275869343778
16276,8.979265450335692
3552,11.298402152407952
4850,11.114366951334887
15317,9.297737507884605
15474,9.243078580563957
7477,10.76285654844227
1269,11.818960585173475
7079,10.812942976830488
12492,9.960363982177824
12222,10.015055760540506
10686,10.283378409524863
14667,9.479687888986765
14644,9.48829781310274
10257,10.352660088295593
3206,11.357126260405773
2359,11.517561700999627
13821,9.697803198555224
5533,11.01449931566976
17321,8.55921766267147
3108,11.37550193637318
4415,11.17390237769405
5177,11.066321124527214
9172,10.523744096611608
6218,10.920161031509314
15769,9.151418050424141
10206,10.361149713186053
17993,8.196602177936063
19058,7.322906656679722
5991,10.95135727233253
6901,10.836243977781134
19404,6.9241206330684015
13490,9.768389218614345
9775,10.430104829207975
381,12.337374554702413
17512,8.977664027627757
12641,9.93382760292191
3850,11.252169606324331
2848,11.418220202166717
7014,10.820753808431961
0,13.629406376055877
9609,10.458719459577916
9756,10.43471856307877
3133,11.369943844991363
7844,11.567093523261544
8548,10.617681683939717
7279,10.788898369884075
11775,10.101050697287494
12766,9.914274167269799
12332,9.996946018976978
7714,10.733202448922318
5407,11.03180426391057
16852,8.765427324900907
3762,11.26580551327444
2354,11.518406417072548
13883,9.681262329429465
9618,10.45713413156842
9895,10.412618741558042
2048,11.595617276053433
3398,11.323049847971944
4219,11.199671193205068
4976,11.094274808331264
16943,8.728555616994607
11683,10.115930051276122
9484,10.476008283767813
12953,9.878559412211278
3914,11.242589410047005
15816,9.18128224437617
6919,10.833971088382958
10452,10.321533192849621
6320,10.904931602944592
4212,11.200363095649816
8550,10.616885789244769
